sample_id,total_reads,pass_qc,reads_mapped,reference,percent_reference_coverage,median_coverage,count_minor_snv_at_or_over_5_pct,pass_fail_reason,subtype,mira_module,runid,instrument,clade,short_clade,subclade
3004125289_N8KIRZ8D_v1,825444,817697,121311,A_HA_H1,99.82,5922,8,Pass,H1N1,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,6B.1A.5a.2a.1,5a.2a.1,D.3
3004125289_N8KIRZ8D_v1,825444,817697,141448,A_MP,100.0,11963,1,Pass,H1N1,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125289_N8KIRZ8D_v1,825444,817697,108865,A_NA_N1,99.79,6518,0,Pass,H1N1,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125289_N8KIRZ8D_v1,825444,817697,82702,A_NP,100.0,4460,1,Pass,H1N1,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125289_N8KIRZ8D_v1,825444,817697,112138,A_NS,97.1,10981,0,Pass,H1N1,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125289_N8KIRZ8D_v1,825444,817697,37456,A_PA,100.0,1161,2,Pass,H1N1,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125289_N8KIRZ8D_v1,825444,817697,74421,A_PB1,100.0,1505,4,Pass,H1N1,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125289_N8KIRZ8D_v1,825444,817697,61963,A_PB2,100.0,2006,1,Pass,H1N1,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125302_N8KIRZA6_v1,527908,521609,60645,A_HA_H3,99.82,2835,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,3C.2a1b.2a.2a.3a.1,2a.3a.1,J.2
3004125302_N8KIRZA6_v1,527908,521609,32908,A_MP,100.0,2904,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125302_N8KIRZA6_v1,527908,521609,61690,A_NA_N2,100.0,3784,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125302_N8KIRZA6_v1,527908,521609,50160,A_NP,100.0,2928,2,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125302_N8KIRZA6_v1,527908,521609,14275,A_NS,97.1,1497,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125302_N8KIRZA6_v1,527908,521609,39624,A_PA,100.0,1649,2,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125302_N8KIRZA6_v1,527908,521609,32400,A_PB1,100.0,1255,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125302_N8KIRZA6_v1,527908,521609,60505,A_PB2,100.0,2284,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125307_N8KIRZAV_v1,627490,620738,58452,A_HA_H3,99.82,2781,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,3C.2a1b.2a.2a.3a.1,2a.3a.1,J.2
3004125307_N8KIRZAV_v1,627490,620738,155621,A_MP,100.0,13692,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125307_N8KIRZAV_v1,627490,620738,51278,A_NA_N2,100.0,3231,2,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125307_N8KIRZAV_v1,627490,620738,72499,A_NP,100.0,4374,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125307_N8KIRZAV_v1,627490,620738,46051,A_NS,97.1,4767,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125307_N8KIRZAV_v1,627490,620738,49530,A_PA,100.0,1996,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125307_N8KIRZAV_v1,627490,620738,41040,A_PB1,100.0,1572,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125307_N8KIRZAV_v1,627490,620738,51845,A_PB2,100.0,2030,3,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125325_N8KIRZDD_v1,763330,756652,98063,A_HA_H1,99.82,4698,0,Pass,H1N1,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,6B.1A.5a.2a.1,5a.2a.1,D.3
3004125325_N8KIRZDD_v1,763330,756652,119199,A_MP,100.0,9905,0,Pass,H1N1,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125325_N8KIRZDD_v1,763330,756652,107986,A_NA_N1,99.79,6145,0,Pass,H1N1,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125325_N8KIRZDD_v1,763330,756652,89967,A_NP,100.0,5003,0,Pass,H1N1,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125325_N8KIRZDD_v1,763330,756652,98134,A_NS,97.1,9558,0,Pass,H1N1,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125325_N8KIRZDD_v1,763330,756652,39649,A_PA,100.0,961,0,Pass,H1N1,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125325_N8KIRZDD_v1,763330,756652,70236,A_PB1,100.0,2431,0,Pass,H1N1,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125325_N8KIRZDD_v1,763330,756652,89190,A_PB2,100.0,3068,1,Pass,H1N1,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125328_N8KIRZDS_v1,553212,546573,70779,A_HA_H3,99.82,3258,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,3C.2a1b.2a.2a.3a.1,2a.3a.1,J.2
3004125328_N8KIRZDS_v1,553212,546573,76405,A_MP,100.0,6685,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125328_N8KIRZDS_v1,553212,546573,63760,A_NA_N2,100.0,3879,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125328_N8KIRZDS_v1,553212,546573,45778,A_NP,100.0,2694,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125328_N8KIRZDS_v1,553212,546573,21743,A_NS,97.1,2238,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125328_N8KIRZDS_v1,553212,546573,54580,A_PA,100.0,2192,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125328_N8KIRZDS_v1,553212,546573,44330,A_PB1,100.0,1639,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125328_N8KIRZDS_v1,553212,546573,63938,A_PB2,100.0,2457,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125336_N8KIRZEW_v1,807716,799694,110256,A_HA_H3,99.82,5445,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,3C.2a1b.2a.2a.3a.1,2a.3a.1,J.2
3004125336_N8KIRZEW_v1,807716,799694,125627,A_MP,100.0,10573,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125336_N8KIRZEW_v1,807716,799694,91984,A_NA_N2,100.0,5508,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125336_N8KIRZEW_v1,807716,799694,66617,A_NP,100.0,3869,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125336_N8KIRZEW_v1,807716,799694,39536,A_NS,97.1,3914,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125336_N8KIRZEW_v1,807716,799694,117226,A_PA,100.0,3983,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125336_N8KIRZEW_v1,807716,799694,97728,A_PB1,100.0,2591,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125336_N8KIRZEW_v1,807716,799694,128502,A_PB2,100.0,4555,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125339_N8KIRZFB_v1,912028,903452,124019,A_HA_H3,99.82,5925,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,3C.2a1b.2a.2a.3a.1,2a.3a.1,J.2
3004125339_N8KIRZFB_v1,912028,903452,134937,A_MP,100.0,11251,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
3004125339_N8KIRZFB_v1,912028,903452,90058,A_NA_N2,100.0,5183,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output,illumina,,,
